Nom,Prenom,Email,Niveau,Filiere
Raynaud,Marie,marie.raynaud@etu.universite.fr,L2,Biologie
Diaz,Stéphanie,stéphanie.diaz@etu.universite.fr,L3,Informatique
Guillou,Maurice,maurice.guillou@etu.universite.fr,M1,Mathématiques
Paul,Zacharie,zacharie.paul@etu.universite.fr,L3,Biologie
Regnier,Thomas,thomas.regnier@etu.universite.fr,L1,Biologie
Brunet,Julie,julie.brunet@etu.universite.fr,M2,Informatique
Mendès,Tristan,tristan.mendès@etu.universite.fr,L3,Informatique
Dumont,Thomas,thomas.dumont@etu.universite.fr,M1,Physique
Buisson,Margaud,margaud.buisson@etu.universite.fr,L2,Mathématiques
Prévost,Robert,robert.prévost@etu.universite.fr,M2,Mathématiques
Le Goff,Geneviève,geneviève.le goff@etu.universite.fr,M2,Biologie
Munoz,Jeannine,jeannine.munoz@etu.universite.fr,L3,Biologie
Verdier,Valérie,valérie.verdier@etu.universite.fr,L2,Physique
Ollivier,Antoinette,antoinette.ollivier@etu.universite.fr,L1,Mathématiques
Ruiz,Théophile,théophile.ruiz@etu.universite.fr,L3,Physique
Guillet,Adrien,adrien.guillet@etu.universite.fr,L2,Physique
Nguyen,Xavier,xavier.nguyen@etu.universite.fr,M2,Physique
Lombard,Hortense,hortense.lombard@etu.universite.fr,L2,Physique
Pons,Laetitia,laetitia.pons@etu.universite.fr,L1,Informatique
Hervé,Élodie,élodie.hervé@etu.universite.fr,M2,Mathématiques
Barbier,Denis,denis.barbier@etu.universite.fr,L1,Informatique
Ferreira,Alexandre,alexandre.ferreira@etu.universite.fr,M1,Mathématiques
Peltier,Tristan,tristan.peltier@etu.universite.fr,M1,Biologie
Bonneau,Capucine,capucine.bonneau@etu.universite.fr,L1,Mathématiques
Mathieu,Sabine,sabine.mathieu@etu.universite.fr,L3,Informatique
Hervé,Raymond,raymond.hervé@etu.universite.fr,L3,Mathématiques
Paul,Capucine,capucine.paul@etu.universite.fr,M2,Biologie
Paul,Vincent,vincent.paul@etu.universite.fr,L3,Mathématiques
Reynaud,Noël,noël.reynaud@etu.universite.fr,M2,Physique
Le Gall,André,andré.le gall@etu.universite.fr,L1,Biologie
Colas,Xavier,xavier.colas@etu.universite.fr,L2,Mathématiques
Petitjean,Gabriel,gabriel.petitjean@etu.universite.fr,M2,Biologie
Le Gall,Jean,jean.le gall@etu.universite.fr,L3,Mathématiques
Louis,Aurélie,aurélie.louis@etu.universite.fr,L2,Informatique
Marin,Andrée,andrée.marin@etu.universite.fr,L1,Mathématiques
Mace,Pénélope,pénélope.mace@etu.universite.fr,M2,Biologie
Maillard,Catherine,catherine.maillard@etu.universite.fr,M1,Mathématiques
Ferreira,Madeleine,madeleine.ferreira@etu.universite.fr,L2,Biologie
Perrin,Marguerite,marguerite.perrin@etu.universite.fr,M2,Mathématiques
Lopez,Brigitte,brigitte.lopez@etu.universite.fr,L2,Informatique
Wagner,Suzanne,suzanne.wagner@etu.universite.fr,L2,Physique
Thierry,Margaux,margaux.thierry@etu.universite.fr,L3,Informatique
Auger,Maurice,maurice.auger@etu.universite.fr,L1,Mathématiques
Masse,Laurent,laurent.masse@etu.universite.fr,L2,Physique
Boulay,Sabine,sabine.boulay@etu.universite.fr,L1,Physique
Garcia,Léon,léon.garcia@etu.universite.fr,L2,Biologie
Lopes,Charles,charles.lopes@etu.universite.fr,L2,Informatique
Perrot,Olivier,olivier.perrot@etu.universite.fr,L2,Biologie
Langlois,Thierry,thierry.langlois@etu.universite.fr,L3,Mathématiques
Lebrun,Hugues,hugues.lebrun@etu.universite.fr,M1,Mathématiques
Bègue,Lorraine,lorraine.bègue@etu.universite.fr,L1,Physique
Maillet,Monique,monique.maillet@etu.universite.fr,L2,Mathématiques
Ferrand,Valentine,valentine.ferrand@etu.universite.fr,L2,Mathématiques
Rossi,Marcelle,marcelle.rossi@etu.universite.fr,L2,Informatique
Jacob,Alain,alain.jacob@etu.universite.fr,L1,Physique
Maillard,Théophile,théophile.maillard@etu.universite.fr,L3,Physique
Turpin,Raymond,raymond.turpin@etu.universite.fr,M2,Physique
Lefebvre,Martine,martine.lefebvre@etu.universite.fr,L2,Mathématiques
Lemaire,Stéphane,stéphane.lemaire@etu.universite.fr,L1,Mathématiques
Nicolas,Luc,luc.nicolas@etu.universite.fr,M2,Biologie
Hoareau,Inès,inès.hoareau@etu.universite.fr,L1,Mathématiques
Cordier,Mathilde,mathilde.cordier@etu.universite.fr,M1,Physique
Perrot,Matthieu,matthieu.perrot@etu.universite.fr,M2,Biologie
Diallo,Célina,célina.diallo@etu.universite.fr,L1,Physique
Rolland,Victor,victor.rolland@etu.universite.fr,M2,Physique
Gros,Capucine,capucine.gros@etu.universite.fr,M2,Mathématiques
Launay,Luce,luce.launay@etu.universite.fr,L2,Mathématiques
Gay,Bertrand,bertrand.gay@etu.universite.fr,L1,Informatique
Breton,Thibault,thibault.breton@etu.universite.fr,M1,Physique
Jean,Michel,michel.jean@etu.universite.fr,M2,Mathématiques
Lopes,Emmanuel,emmanuel.lopes@etu.universite.fr,L1,Physique
Raymond,Jules,jules.raymond@etu.universite.fr,L2,Physique
Raynaud,Guillaume,guillaume.raynaud@etu.universite.fr,L1,Informatique
Pineau,Théodore,théodore.pineau@etu.universite.fr,M1,Physique
Andre,Olivie,olivie.andre@etu.universite.fr,L1,Informatique
Diaz,Marcelle,marcelle.diaz@etu.universite.fr,M1,Informatique
Royer,Étienne,étienne.royer@etu.universite.fr,M2,Physique
Legendre,Louise,louise.legendre@etu.universite.fr,L2,Biologie
Renard,Henri,henri.renard@etu.universite.fr,L2,Biologie
Ollivier,Astrid,astrid.ollivier@etu.universite.fr,M1,Physique
Guillou,Zoé,zoé.guillou@etu.universite.fr,L3,Physique
Traore,Martin,martin.traore@etu.universite.fr,L2,Physique
Maury,Colette,colette.maury@etu.universite.fr,L2,Informatique
Mercier,Jeanne,jeanne.mercier@etu.universite.fr,L1,Informatique
Klein,Susanne,susanne.klein@etu.universite.fr,L2,Mathématiques
Guillot,Margot,margot.guillot@etu.universite.fr,L3,Mathématiques
Thierry,Juliette,juliette.thierry@etu.universite.fr,L2,Informatique
Dufour,Alexandrie,alexandrie.dufour@etu.universite.fr,M1,Informatique
Girard,Alexandrie,alexandrie.girard@etu.universite.fr,M2,Physique
Bazin,Manon,manon.bazin@etu.universite.fr,L3,Informatique
Fernandez,Jeannine,jeannine.fernandez@etu.universite.fr,L1,Informatique
Hamel,Isaac,isaac.hamel@etu.universite.fr,M1,Biologie
Laine,Sylvie,sylvie.laine@etu.universite.fr,M2,Physique
Renaud,Adélaïde,adélaïde.renaud@etu.universite.fr,L1,Mathématiques
Baron,Marc,marc.baron@etu.universite.fr,L1,Mathématiques
Laporte,Sabine,sabine.laporte@etu.universite.fr,L1,Physique
Chartier,Eugène,eugène.chartier@etu.universite.fr,L3,Informatique
Auger,Anaïs,anaïs.auger@etu.universite.fr,M1,Biologie
Barbe,Laurence,laurence.barbe@etu.universite.fr,M2,Mathématiques
Michaud,Anastasie,anastasie.michaud@etu.universite.fr,L1,Mathématiques
Weiss,Alex,alex.weiss@etu.universite.fr,L3,Physique
Ruiz,Célina,célina.ruiz@etu.universite.fr,L1,Mathématiques
Hebert,Dominique,dominique.hebert@etu.universite.fr,L2,Informatique
Humbert,Sophie,sophie.humbert@etu.universite.fr,M2,Informatique
Fouquet,Aimée,aimée.fouquet@etu.universite.fr,M1,Physique
Clément,Charlotte,charlotte.clément@etu.universite.fr,L2,Mathématiques
Morvan,Frédéric,frédéric.morvan@etu.universite.fr,M2,Physique
Berthelot,Jean,jean.berthelot@etu.universite.fr,L3,Informatique
Leroy,Benjamin,benjamin.leroy@etu.universite.fr,L2,Informatique
Peron,Agathe,agathe.peron@etu.universite.fr,M2,Biologie
Alexandre,Marcel,marcel.alexandre@etu.universite.fr,M2,Mathématiques
Caron,Adrien,adrien.caron@etu.universite.fr,L2,Mathématiques
Texier,Manon,manon.texier@etu.universite.fr,L1,Informatique
Briand,Audrey,audrey.briand@etu.universite.fr,M2,Informatique
Rivière,Denis,denis.rivière@etu.universite.fr,L1,Biologie
Bègue,Bertrand,bertrand.bègue@etu.universite.fr,L3,Physique
Léger,Luc,luc.léger@etu.universite.fr,L2,Mathématiques
Delaunay,Nathalie,nathalie.delaunay@etu.universite.fr,M2,Mathématiques
Klein,Martine,martine.klein@etu.universite.fr,M2,Mathématiques
Gauthier,Alphonse,alphonse.gauthier@etu.universite.fr,L2,Biologie
Barre,Agnès,agnès.barre@etu.universite.fr,M1,Informatique
