ID_Reservation,Professeur,Matiere,Salle,Date,Heure_Debut,Heure_Fin,Statut
25,Lecoq Maggie,Chimie,C843,2026-04-07,11:00,12:30,confirmee
26,Lecoq Maggie,Chimie,B436,2026-05-17,15:00,16:30,confirmee
27,Munoz Michelle,Info,A762,2026-03-15,13:00,14:30,confirmee
28,Chrétien Susanne,Histoire,E415,2026-05-10,09:00,10:30,confirmee
29,Fouquet Valérie,Chimie,C832,2026-03-14,12:00,13:30,confirmee
30,Fournier Bertrand,Info,A195,2026-05-28,08:00,09:30,confirmee
31,Blot Andrée,Histoire,B259,2026-03-12,16:00,17:30,confirmee
32,Pichon Frédéric,Histoire,A548,2026-05-30,08:00,09:30,annulee
33,Thibault Jérôme,Info,B259,2026-05-19,10:00,11:30,confirmee
34,Maréchal Christine,Chimie,C031,2026-04-21,09:00,10:30,en_attente
35,Millet Denise,Info,B949,2026-04-17,16:00,17:30,confirmee
36,Peltier Brigitte,Physique,C832,2026-03-05,12:00,13:30,annulee
37,Chrétien Susanne,Physique,B436,2026-03-25,13:00,14:30,annulee
38,Duval Clémence,Histoire,B403,2026-04-30,08:00,09:30,confirmee
39,Blanchard François,Maths,B259,2026-05-09,12:00,13:30,en_attente
40,Maréchal Christine,Physique,C298,2026-05-18,10:00,11:30,confirmee
41,Renaud Thomas,Info,B436,2026-03-14,13:00,14:30,confirmee
42,Duval Clémence,Maths,C843,2026-05-03,14:00,15:30,confirmee
43,Peltier Brigitte,Maths,B949,2026-06-01,12:00,13:30,confirmee
44,Cousin Arnaude,Maths,A195,2026-05-02,11:00,12:30,confirmee
45,Lévêque Aimé,Physique,B318,2026-04-06,10:00,11:30,confirmee
46,Thibault Jérôme,Chimie,C298,2026-03-20,11:00,12:30,confirmee
47,Chrétien Susanne,Info,E415,2026-04-19,12:00,13:30,confirmee
48,Lévêque Aimé,Chimie,C031,2026-05-26,09:00,10:30,confirmee
49,Ferreira Martin,Histoire,A548,2026-05-31,14:00,15:30,en_attente
50,Gaudin Benjamin,Maths,C512,2026-05-19,10:00,11:30,confirmee
51,Fournier Bertrand,Maths,A548,2026-04-24,13:00,14:30,confirmee
52,Vincent Bertrand,Physique,A548,2026-03-22,09:00,10:30,confirmee
53,Blanchard François,Physique,B403,2026-05-14,16:00,17:30,en_attente
54,Marchand Augustin,Histoire,A195,2026-03-12,15:00,16:30,confirmee
55,Descamps Noël,Info,B259,2026-03-30,12:00,13:30,confirmee
56,Ferreira Martin,Info,C843,2026-04-23,09:00,10:30,confirmee
57,Gauthier Lorraine,Histoire,C843,2026-03-25,14:00,15:30,confirmee
58,Maréchal Christine,Info,C484,2026-05-05,10:00,11:30,confirmee
59,Mary Geneviève,Histoire,A195,2026-03-29,10:00,11:30,confirmee
60,Munoz Michelle,Physique,B259,2026-05-12,13:00,14:30,confirmee
61,Marchand Augustin,Maths,A762,2026-05-01,10:00,11:30,confirmee
62,Peltier Brigitte,Info,A181,2026-03-13,16:00,17:30,confirmee
63,Millet Denise,Histoire,A548,2026-05-19,11:00,12:30,confirmee
64,Chrétien Susanne,Chimie,B318,2026-03-08,13:00,14:30,confirmee
65,Michaud Guillaume,Histoire,C484,2026-05-18,11:00,12:30,en_attente
66,Blot Andrée,Maths,E415,2026-04-27,13:00,14:30,confirmee
67,Thibault Jérôme,Info,A548,2026-05-04,11:00,12:30,confirmee
68,Alexandre Danielle,Info,B949,2026-03-10,11:00,12:30,confirmee
69,Ferreira Martin,Maths,B436,2026-03-28,10:00,11:30,confirmee
70,Vincent Bertrand,Physique,A137,2026-04-27,13:00,14:30,confirmee
71,Fernandes Anouk,Physique,C484,2026-04-15,13:00,14:30,confirmee
72,Gaudin Benjamin,Physique,C832,2026-05-06,15:00,16:30,confirmee
73,Chrétien Susanne,Physique,C832,2026-05-21,16:00,17:30,en_attente
74,Buisson Jacqueline,Chimie,A548,2026-03-15,14:00,15:30,confirmee
75,Rocher Aimé,Physique,E415,2026-05-29,08:00,09:30,confirmee
76,Vallée Christophe,Maths,A762,2026-04-19,12:00,13:30,confirmee
77,Gauthier Pénélope,Maths,A762,2026-05-16,11:00,12:30,annulee
78,Duval Clémence,Info,B318,2026-03-11,16:00,17:30,confirmee
79,Pichon Frédéric,Chimie,C832,2026-04-01,08:00,09:30,confirmee
80,Duval Clémence,Info,C832,2026-05-11,11:00,12:30,confirmee
81,Vallée Christophe,Chimie,B218,2026-06-01,16:00,17:30,confirmee
82,Descamps Noël,Physique,C832,2026-04-03,16:00,17:30,confirmee
83,Rocher Aimé,Chimie,B403,2026-05-09,10:00,11:30,confirmee
84,Munoz Michelle,Info,A793,2026-04-04,15:00,16:30,confirmee
85,Munoz Michelle,Physique,C484,2026-04-26,08:00,09:30,confirmee
86,Vallée Christophe,Chimie,C484,2026-03-13,16:00,17:30,confirmee
87,Lévêque Aimé,Chimie,C843,2026-06-01,15:00,16:30,confirmee
88,Ferreira Martin,Info,C298,2026-03-21,13:00,14:30,confirmee
89,Fouquet Valérie,Chimie,C031,2026-04-21,13:00,14:30,en_attente
90,Fernandes Anouk,Histoire,C832,2026-03-28,08:00,09:30,annulee
91,Collin Julien,Maths,C832,2026-05-13,09:00,10:30,confirmee
92,Descamps Noël,Histoire,A548,2026-05-02,08:00,09:30,en_attente
93,Blot Andrée,Physique,A137,2026-04-13,12:00,13:30,confirmee
94,Alexandre Danielle,Physique,E415,2026-04-22,12:00,13:30,confirmee
95,Buisson Jacqueline,Info,C843,2026-03-08,10:00,11:30,confirmee
96,Maréchal Christine,Chimie,A762,2026-05-02,13:00,14:30,en_attente
97,Pichon Frédéric,Physique,A195,2026-03-23,16:00,17:30,confirmee
98,Millet Denise,Maths,C298,2026-03-22,16:00,17:30,confirmee
99,Michaud Guillaume,Physique,B949,2026-05-04,16:00,17:30,confirmee
100,Gauthier Pénélope,Info,C512,2026-04-19,14:00,15:30,confirmee
101,Fouquet Valérie,Physique,A548,2026-04-15,10:00,11:30,confirmee
102,Buisson Jacqueline,Physique,B259,2026-03-23,08:00,09:30,confirmee
103,Lecoq Maggie,Maths,E415,2026-05-08,10:00,11:30,confirmee
104,Renaud Thomas,Chimie,E415,2026-03-06,13:00,14:30,confirmee
105,Thibault Jérôme,Info,B318,2026-04-27,12:00,13:30,en_attente
106,Peltier Brigitte,Physique,C843,2026-03-08,12:00,13:30,en_attente
107,Clément Émilie,Maths,A793,2026-03-29,12:00,13:30,confirmee
108,Millet Denise,Chimie,C832,2026-03-11,14:00,15:30,confirmee
109,Maréchal Christine,Physique,A762,2026-03-22,08:00,09:30,confirmee
110,Descamps Noël,Info,A137,2026-05-30,11:00,12:30,confirmee
111,Gauthier Lorraine,Histoire,A793,2026-06-01,16:00,17:30,annulee
112,Vallée Christophe,Chimie,C484,2026-04-25,12:00,13:30,confirmee
113,Clément Émilie,Chimie,E124,2026-04-03,11:00,12:30,confirmee
114,Munoz Michelle,Info,B949,2026-05-08,13:00,14:30,en_attente
115,Fouquet Valérie,Maths,B949,2026-05-15,09:00,10:30,confirmee
116,Duval Clémence,Histoire,C031,2026-04-22,15:00,16:30,confirmee
117,Duval Clémence,Maths,C298,2026-05-07,12:00,13:30,annulee
118,Gauthier Lorraine,Histoire,B949,2026-04-20,11:00,12:30,confirmee
119,Mary Geneviève,Physique,B949,2026-03-08,15:00,16:30,confirmee
120,Bailly Emmanuelle,Physique,A793,2026-05-27,13:00,14:30,confirmee
121,Cousin Arnaude,Chimie,B218,2026-05-01,12:00,13:30,confirmee
122,Blot Andrée,Maths,B218,2026-05-27,12:00,13:30,confirmee
123,Cordier Émile,Maths,A548,2026-05-30,14:00,15:30,confirmee
124,Blanchard François,Maths,C031,2026-03-12,11:00,12:30,confirmee
125,Gaudin Benjamin,Info,B259,2026-03-31,08:00,09:30,confirmee
126,Blot Andrée,Info,A137,2026-03-11,11:00,12:30,confirmee
127,Marchand Augustin,Chimie,A762,2026-05-11,12:00,13:30,confirmee
128,Collin Julien,Info,A137,2026-03-09,15:00,16:30,en_attente
129,Renaud Thomas,Chimie,E415,2026-05-03,15:00,16:30,confirmee
130,Marchand Augustin,Histoire,C512,2026-05-17,16:00,17:30,confirmee
131,Peltier Brigitte,Chimie,A195,2026-03-30,08:00,09:30,annulee
132,Lévêque Aimé,Maths,C484,2026-03-23,13:00,14:30,en_attente
133,Cousin Arnaude,Chimie,A137,2026-03-26,09:00,10:30,confirmee
134,Rocher Aimé,Maths,C843,2026-03-18,08:00,09:30,confirmee
135,Gauthier Pénélope,Chimie,C298,2026-03-23,09:00,10:30,en_attente
136,Cousin Arnaude,Physique,A181,2026-04-25,09:00,10:30,confirmee
137,Fournier Bertrand,Physique,B949,2026-03-07,12:00,13:30,annulee
138,Vincent Bertrand,Maths,E124,2026-03-26,09:00,10:30,confirmee
139,Pichon Frédéric,Info,A762,2026-03-16,10:00,11:30,confirmee
140,Gauthier Lorraine,Histoire,C031,2026-04-22,16:00,17:30,confirmee
141,Fouquet Valérie,Physique,A181,2026-04-05,13:00,14:30,en_attente
142,Buisson Jacqueline,Info,C843,2026-04-23,10:00,11:30,confirmee
143,Gauthier Lorraine,Maths,C832,2026-04-28,16:00,17:30,confirmee
144,Alexandre Danielle,Maths,B218,2026-03-05,11:00,12:30,en_attente
145,Descamps Noël,Histoire,B949,2026-03-17,16:00,17:30,confirmee
146,Michaud Guillaume,Histoire,E415,2026-05-10,08:00,09:30,en_attente
147,Maréchal Christine,Info,C031,2026-05-28,10:00,11:30,confirmee
148,Peltier Brigitte,Physique,A181,2026-03-05,16:00,17:30,confirmee
149,Gauthier Pénélope,Maths,B403,2026-03-18,10:00,11:30,en_attente
150,Fouquet Valérie,Physique,C512,2026-05-11,10:00,11:30,confirmee
151,Blanchard François,Chimie,B218,2026-03-11,13:00,14:30,confirmee
152,Blot Andrée,Chimie,C484,2026-05-01,16:00,17:30,confirmee
153,Thibault Jérôme,Physique,C031,2026-05-25,14:00,15:30,confirmee
154,Pichon Frédéric,Maths,B949,2026-04-13,11:00,12:30,confirmee
155,Leduc Xavier,Maths,A793,2026-03-09,13:00,14:30,en_attente
156,Bailly Emmanuelle,Info,B318,2026-05-02,10:00,11:30,confirmee
157,Renaud Thomas,Histoire,B318,2026-03-31,14:00,15:30,annulee
158,Michaud Guillaume,Histoire,E124,2026-05-11,14:00,15:30,confirmee
159,Descamps Noël,Info,A793,2026-04-18,10:00,11:30,confirmee
160,Rocher Aimé,Physique,A195,2026-04-18,14:00,15:30,en_attente
161,Fournier Bertrand,Chimie,C512,2026-05-18,08:00,09:30,confirmee
162,Alexandre Danielle,Physique,A548,2026-05-11,08:00,09:30,confirmee
163,Fournier Bertrand,Info,C832,2026-04-17,13:00,14:30,en_attente
164,Marchand Augustin,Maths,C031,2026-04-03,12:00,13:30,confirmee
165,Vallée Christophe,Info,E124,2026-05-19,12:00,13:30,confirmee
166,Gaudin Benjamin,Chimie,A137,2026-05-15,14:00,15:30,confirmee
167,Duval Clémence,Chimie,A195,2026-03-15,15:00,16:30,confirmee
168,Pichon Frédéric,Info,A181,2026-05-24,10:00,11:30,confirmee
169,Michaud Guillaume,Chimie,C031,2026-04-27,12:00,13:30,confirmee
170,Rocher Aimé,Physique,A195,2026-04-06,11:00,12:30,confirmee
171,Maréchal Christine,Physique,C832,2026-03-29,12:00,13:30,en_attente
172,Michaud Guillaume,Physique,C512,2026-04-17,10:00,11:30,confirmee
173,Blot Andrée,Histoire,B403,2026-04-07,10:00,11:30,confirmee
174,Munoz Michelle,Info,B318,2026-06-02,10:00,11:30,confirmee
175,Ferreira Martin,Maths,A548,2026-05-24,10:00,11:30,confirmee
176,Lévêque Aimé,Histoire,E415,2026-04-23,15:00,16:30,confirmee
177,Vallée Christophe,Physique,E124,2026-03-22,10:00,11:30,en_attente
178,Buisson Jacqueline,Histoire,E415,2026-04-05,09:00,10:30,confirmee
179,Descamps Noël,Chimie,B403,2026-05-24,11:00,12:30,confirmee
180,Marchand Augustin,Maths,B949,2026-04-25,13:00,14:30,confirmee
181,Millet Denise,Histoire,C484,2026-03-16,09:00,10:30,confirmee
182,Renaud Thomas,Histoire,C843,2026-04-06,09:00,10:30,confirmee
183,Rocher Aimé,Physique,C843,2026-03-06,08:00,09:30,confirmee
184,Blot Andrée,Chimie,A548,2026-04-09,13:00,14:30,confirmee
185,Alexandre Danielle,Physique,A548,2026-03-29,16:00,17:30,en_attente
186,Cordier Émile,Histoire,C298,2026-05-15,15:00,16:30,confirmee
187,Chrétien Susanne,Info,A793,2026-03-31,08:00,09:30,confirmee
188,Blanchard François,Info,A762,2026-04-04,16:00,17:30,confirmee
189,Michaud Guillaume,Info,C484,2026-04-17,09:00,10:30,confirmee
190,Vincent Bertrand,Maths,A195,2026-05-10,09:00,10:30,confirmee
191,Fouquet Valérie,Maths,C484,2026-03-11,12:00,13:30,confirmee
192,Buisson Jacqueline,Maths,A548,2026-05-07,11:00,12:30,confirmee
193,Thibault Jérôme,Histoire,E415,2026-05-05,09:00,10:30,confirmee
194,Vincent Bertrand,Physique,C512,2026-03-10,12:00,13:30,confirmee
195,Rocher Aimé,Info,C298,2026-05-27,11:00,12:30,confirmee
196,Blot Andrée,Maths,A793,2026-05-08,15:00,16:30,confirmee
197,Millet Denise,Chimie,E124,2026-03-20,12:00,13:30,confirmee
198,Duval Clémence,Chimie,A137,2026-03-25,13:00,14:30,confirmee
199,Vallée Christophe,Chimie,A195,2026-03-17,14:00,15:30,en_attente
200,Renaud Thomas,Physique,A195,2026-03-26,10:00,11:30,confirmee
201,Rocher Aimé,Histoire,C031,2026-04-09,08:00,09:30,confirmee
202,Munoz Michelle,Chimie,A762,2026-04-29,10:00,11:30,confirmee
203,Peltier Brigitte,Physique,B436,2026-05-15,16:00,17:30,confirmee
204,Descamps Noël,Maths,C031,2026-05-04,15:00,16:30,confirmee
205,Lecoq Maggie,Physique,C512,2026-04-20,11:00,12:30,confirmee
206,Fournier Bertrand,Chimie,C484,2026-03-08,13:00,14:30,confirmee
207,Pichon Frédéric,Maths,B259,2026-03-07,11:00,12:30,en_attente
208,Mary Geneviève,Maths,A793,2026-03-18,13:00,14:30,confirmee
209,Pichon Frédéric,Physique,A195,2026-03-11,08:00,09:30,confirmee
210,Cordier Émile,Histoire,A762,2026-03-22,13:00,14:30,confirmee
211,Rocher Aimé,Info,C512,2026-04-24,15:00,16:30,confirmee
212,Vallée Christophe,Physique,C484,2026-03-15,09:00,10:30,confirmee
213,Lévêque Aimé,Physique,B318,2026-03-28,12:00,13:30,confirmee
214,Lecoq Maggie,Maths,B403,2026-03-27,08:00,09:30,confirmee
215,Blot Andrée,Info,A548,2026-04-23,10:00,11:30,confirmee
216,Fouquet Valérie,Histoire,C832,2026-06-01,14:00,15:30,confirmee
217,Maréchal Christine,Physique,A762,2026-04-16,13:00,14:30,en_attente
218,Millet Denise,Info,B949,2026-03-15,12:00,13:30,confirmee
219,Gaudin Benjamin,Maths,E124,2026-03-10,12:00,13:30,confirmee
220,Rocher Aimé,Info,E124,2026-05-17,14:00,15:30,confirmee
221,Lecoq Maggie,Chimie,A762,2026-04-18,08:00,09:30,confirmee
222,Fernandes Anouk,Histoire,A762,2026-04-29,16:00,17:30,confirmee
223,Gaudin Benjamin,Histoire,B949,2026-03-14,12:00,13:30,confirmee
224,Thibault Jérôme,Physique,C832,2026-04-15,14:00,15:30,confirmee
225,Ferreira Martin,Info,C512,2026-05-03,12:00,13:30,confirmee
226,Pichon Frédéric,Info,C843,2026-05-15,16:00,17:30,annulee
227,Mary Geneviève,Maths,A137,2026-03-25,14:00,15:30,confirmee
228,Gauthier Lorraine,Chimie,C484,2026-03-09,08:00,09:30,confirmee
229,Vallée Christophe,Maths,E415,2026-05-17,13:00,14:30,confirmee
230,Chrétien Susanne,Physique,B403,2026-04-03,08:00,09:30,confirmee
231,Munoz Michelle,Histoire,A548,2026-03-20,08:00,09:30,confirmee
232,Renaud Thomas,Maths,B436,2026-05-10,15:00,16:30,confirmee
233,Maréchal Christine,Physique,C298,2026-03-24,10:00,11:30,confirmee
234,Alexandre Danielle,Histoire,B403,2026-05-04,09:00,10:30,confirmee
235,Vallée Christophe,Chimie,B259,2026-04-17,16:00,17:30,confirmee
236,Gauthier Lorraine,Maths,A137,2026-03-24,14:00,15:30,confirmee
237,Renaud Thomas,Chimie,A548,2026-06-01,10:00,11:30,confirmee
238,Buisson Jacqueline,Info,B436,2026-03-20,14:00,15:30,en_attente
239,Vallée Christophe,Histoire,B403,2026-03-18,16:00,17:30,confirmee
240,Renaud Thomas,Histoire,C843,2026-05-11,11:00,12:30,confirmee
241,Vallée Christophe,Physique,C298,2026-03-07,15:00,16:30,annulee
242,Blanchard François,Physique,C512,2026-04-17,08:00,09:30,confirmee
243,Descamps Noël,Physique,C843,2026-04-10,10:00,11:30,confirmee
244,Gaudin Benjamin,Chimie,B318,2026-03-09,11:00,12:30,confirmee
245,Descamps Noël,Maths,B318,2026-04-12,08:00,09:30,confirmee
246,Lévêque Aimé,Info,A793,2026-04-09,16:00,17:30,confirmee
247,Millet Denise,Chimie,B436,2026-04-06,09:00,10:30,confirmee
248,Munoz Michelle,Maths,C484,2026-04-24,10:00,11:30,confirmee
249,Blanchard François,Physique,B436,2026-04-19,12:00,13:30,confirmee
250,Millet Denise,Chimie,C031,2026-04-09,08:00,09:30,confirmee
251,Mary Geneviève,Physique,A181,2026-03-23,13:00,14:30,confirmee
252,Duval Clémence,Physique,A137,2026-04-17,15:00,16:30,confirmee
253,Blanchard François,Physique,A181,2026-05-16,14:00,15:30,confirmee
254,Michaud Guillaume,Histoire,C512,2026-03-30,15:00,16:30,confirmee
255,Clément Émilie,Histoire,A793,2026-06-01,11:00,12:30,confirmee
256,Rocher Aimé,Maths,C512,2026-04-26,08:00,09:30,confirmee
257,Peltier Brigitte,Maths,A137,2026-03-09,08:00,09:30,confirmee
258,Pichon Frédéric,Maths,C484,2026-04-29,14:00,15:30,en_attente
259,Maréchal Christine,Maths,B403,2026-05-22,08:00,09:30,en_attente
260,Fournier Bertrand,Physique,A195,2026-05-11,10:00,11:30,confirmee
261,Vallée Christophe,Maths,E124,2026-05-12,12:00,13:30,confirmee
262,Pichon Frédéric,Physique,B259,2026-03-23,12:00,13:30,confirmee
263,Descamps Noël,Histoire,B318,2026-03-24,14:00,15:30,confirmee
264,Blanchard François,Histoire,A195,2026-04-05,09:00,10:30,confirmee
265,Bailly Emmanuelle,Maths,C298,2026-05-07,11:00,12:30,confirmee
266,Thibault Jérôme,Maths,A793,2026-03-07,15:00,16:30,annulee
267,Rocher Aimé,Chimie,A137,2026-04-03,11:00,12:30,confirmee
268,Collin Julien,Histoire,B318,2026-05-11,08:00,09:30,confirmee
269,Vincent Bertrand,Physique,A195,2026-05-21,16:00,17:30,confirmee
270,Duval Clémence,Physique,B318,2026-05-06,14:00,15:30,confirmee
271,Gaudin Benjamin,Info,E124,2026-05-08,15:00,16:30,confirmee
272,Munoz Michelle,Chimie,C512,2026-05-28,15:00,16:30,confirmee
273,Millet Denise,Physique,A793,2026-04-08,15:00,16:30,confirmee
274,Chrétien Susanne,Histoire,B949,2026-04-19,11:00,12:30,confirmee
275,Ferreira Martin,Chimie,A181,2026-03-18,14:00,15:30,confirmee
276,Vincent Bertrand,Chimie,B218,2026-05-09,09:00,10:30,en_attente
277,Mary Geneviève,Physique,A137,2026-05-14,14:00,15:30,en_attente
278,Michaud Guillaume,Maths,C832,2026-04-06,11:00,12:30,confirmee
279,Duval Clémence,Histoire,B318,2026-05-18,09:00,10:30,confirmee
280,Blanchard François,Maths,B259,2026-05-11,09:00,10:30,confirmee
281,Blot Andrée,Maths,C832,2026-03-19,13:00,14:30,en_attente
282,Maréchal Christine,Physique,C832,2026-05-30,12:00,13:30,confirmee
283,Chrétien Susanne,Chimie,B259,2026-04-22,11:00,12:30,confirmee
284,Pichon Frédéric,Info,E124,2026-05-27,14:00,15:30,en_attente
285,Marchand Augustin,Info,C843,2026-03-10,13:00,14:30,confirmee
286,Marchand Augustin,Maths,B318,2026-04-29,12:00,13:30,confirmee
287,Gauthier Pénélope,Maths,B949,2026-03-29,12:00,13:30,confirmee
288,Fouquet Valérie,Info,A548,2026-03-26,09:00,10:30,confirmee
289,Duval Clémence,Histoire,C843,2026-05-24,12:00,13:30,en_attente
290,Blot Andrée,Physique,A195,2026-04-21,12:00,13:30,en_attente
291,Gauthier Lorraine,Maths,B259,2026-04-23,16:00,17:30,annulee
292,Pichon Frédéric,Maths,A762,2026-05-30,13:00,14:30,confirmee
293,Leduc Xavier,Info,C512,2026-04-12,09:00,10:30,confirmee
294,Cousin Arnaude,Info,B259,2026-05-08,10:00,11:30,confirmee
295,Fernandes Anouk,Physique,A195,2026-03-28,08:00,09:30,confirmee
296,Alexandre Danielle,Maths,B318,2026-06-02,12:00,13:30,confirmee
297,Fouquet Valérie,Info,A137,2026-04-29,11:00,12:30,en_attente
298,Alexandre Danielle,Chimie,E124,2026-04-21,13:00,14:30,confirmee
299,Rocher Aimé,Maths,A762,2026-05-24,14:00,15:30,confirmee
300,Peltier Brigitte,Info,E124,2026-04-27,11:00,12:30,en_attente
301,Ferreira Martin,Chimie,A548,2026-05-11,08:00,09:30,en_attente
302,Collin Julien,Info,B318,2026-03-11,08:00,09:30,annulee
303,Marchand Augustin,Info,A548,2026-04-10,15:00,16:30,confirmee
304,Lévêque Aimé,Histoire,C484,2026-03-27,11:00,12:30,confirmee
305,Mary Geneviève,Physique,A137,2026-05-07,10:00,11:30,confirmee
306,Fournier Bertrand,Histoire,C298,2026-05-02,08:00,09:30,confirmee
307,Vallée Christophe,Physique,A762,2026-05-22,12:00,13:30,confirmee
308,Renaud Thomas,Physique,C484,2026-04-22,14:00,15:30,en_attente
309,Peltier Brigitte,Chimie,B436,2026-03-30,10:00,11:30,confirmee
310,Gaudin Benjamin,Chimie,A137,2026-03-18,13:00,14:30,confirmee
311,Millet Denise,Chimie,E415,2026-03-19,12:00,13:30,confirmee
312,Chrétien Susanne,Chimie,B949,2026-03-14,14:00,15:30,confirmee
313,Lecoq Maggie,Chimie,E124,2026-05-18,13:00,14:30,confirmee
314,Renaud Thomas,Chimie,A762,2026-03-13,15:00,16:30,confirmee
315,Gauthier Pénélope,Chimie,B436,2026-03-15,13:00,14:30,confirmee
316,Thibault Jérôme,Histoire,C843,2026-05-03,09:00,10:30,confirmee
317,Fernandes Anouk,Maths,A548,2026-05-18,08:00,09:30,confirmee
318,Blanchard François,Info,A195,2026-04-03,09:00,10:30,confirmee
319,Cousin Arnaude,Info,B318,2026-05-25,11:00,12:30,confirmee
320,Lecoq Maggie,Info,B403,2026-05-18,15:00,16:30,confirmee
321,Rocher Aimé,Info,A762,2026-03-12,15:00,16:30,confirmee
322,Blanchard François,Physique,A762,2026-05-12,11:00,12:30,confirmee
323,Gaudin Benjamin,Maths,C484,2026-04-02,08:00,09:30,confirmee
324,Renaud Thomas,Info,A195,2026-05-02,10:00,11:30,en_attente
325,Buisson Jacqueline,Physique,B318,2026-04-01,09:00,10:30,confirmee
326,Mary Geneviève,Histoire,A181,2026-03-16,10:00,11:30,confirmee
327,Millet Denise,Chimie,B259,2026-05-22,10:00,11:30,confirmee
328,Pichon Frédéric,Physique,C298,2026-05-16,09:00,10:30,en_attente
329,Vincent Bertrand,Chimie,A548,2026-03-09,16:00,17:30,confirmee
330,Blot Andrée,Chimie,B949,2026-03-13,13:00,14:30,confirmee
331,Renaud Thomas,Histoire,A181,2026-03-26,13:00,14:30,confirmee
332,Michaud Guillaume,Chimie,B436,2026-05-05,09:00,10:30,confirmee
333,Blanchard François,Info,C298,2026-05-08,08:00,09:30,confirmee
334,Millet Denise,Chimie,A195,2026-03-18,11:00,12:30,confirmee
335,Vallée Christophe,Physique,B949,2026-03-12,16:00,17:30,en_attente
336,Collin Julien,Histoire,C484,2026-04-25,15:00,16:30,confirmee
337,Gaudin Benjamin,Physique,E415,2026-04-30,11:00,12:30,confirmee
338,Bailly Emmanuelle,Chimie,B949,2026-04-20,10:00,11:30,confirmee
339,Alexandre Danielle,Physique,B218,2026-05-08,16:00,17:30,en_attente
340,Thibault Jérôme,Chimie,A181,2026-03-10,08:00,09:30,en_attente
341,Lecoq Maggie,Info,A762,2026-04-30,11:00,12:30,confirmee
342,Blanchard François,Chimie,C843,2026-04-25,14:00,15:30,confirmee
343,Munoz Michelle,Chimie,B259,2026-04-25,09:00,10:30,confirmee
344,Pichon Frédéric,Physique,A137,2026-03-25,12:00,13:30,confirmee
345,Vincent Bertrand,Physique,B403,2026-04-07,13:00,14:30,confirmee
346,Buisson Jacqueline,Physique,C031,2026-03-19,11:00,12:30,confirmee
347,Alexandre Danielle,Maths,A181,2026-04-22,11:00,12:30,en_attente
348,Chrétien Susanne,Chimie,B218,2026-05-08,12:00,13:30,confirmee
349,Michaud Guillaume,Chimie,E124,2026-03-22,11:00,12:30,annulee
350,Lévêque Aimé,Chimie,B218,2026-05-23,11:00,12:30,confirmee
351,Gauthier Lorraine,Histoire,A762,2026-04-16,15:00,16:30,annulee
352,Ferreira Martin,Histoire,C031,2026-05-10,10:00,11:30,confirmee
353,Vallée Christophe,Histoire,B259,2026-03-11,10:00,11:30,confirmee
354,Millet Denise,Info,A762,2026-05-04,09:00,10:30,confirmee
355,Blanchard François,Info,A762,2026-03-29,14:00,15:30,confirmee
356,Thibault Jérôme,Chimie,B436,2026-05-06,10:00,11:30,confirmee
357,Buisson Jacqueline,Physique,C832,2026-04-19,08:00,09:30,confirmee
358,Thibault Jérôme,Chimie,B259,2026-04-20,08:00,09:30,confirmee
359,Munoz Michelle,Info,C484,2026-05-14,15:00,16:30,confirmee
360,Pichon Frédéric,Chimie,C484,2026-03-28,14:00,15:30,confirmee
361,Mary Geneviève,Info,B949,2026-04-11,14:00,15:30,confirmee
